id,codigo_cie10,nombre,categoria,activo
125,A95.1,FIEBRE AMARILLA URBANA,A95,True
126,A95.9,"FIEBRE AMARILLA, NO ESPECIFICADA",A95,True
127,A96,FIEBRE HEMORRAGICA POR ARENAVIRUS,A96,True
128,A96.0,FIEBRE HEMORRAGICA DE JUNIN,A96,True
129,A96.1,FIEBRE HEMORRAGICA DE MACHUPO,A96,True
130,A96.2,FIEBRE DE LASSA,A96,True
131,A96.8,OTRAS FIEBRES HEMORRAGICAS POR ARENAVIRUS,A96,True
132,A96.9,"FIEBRE HEMORRAGICA POR ARENAVIRUS, SIN OTRA ESPECIFICACION",A96,True
133,A98,"OTRAS FIEBRES VIRALES HEMORRAGICAS, NO CLASIFICADAS EN OTRA PARTE",A98,True
134,A98.0,FIEBRE HEMORRAGICA DE CRIMEA-CONGO,A98,True
135,A98.1,FIEBRE HEMORRAGICA DE OMSK,A98,True
136,A98.2,ENFERMEDAD DE LA SELVA DE KYASANUR,A98,True
137,A98.3,ENFERMEDAD POR EL VIRUS DE MARBURG,A98,True
138,A98.4,ENFERMEDAD POR EL VIRUS DE EBOLA,A98,True
139,A98.5,FIEBRES HEMORRAGICAS CON SINDROME RENAL,A98,True
140,A98.8,OTRAS FIEBRES HEMORRAGICAS VIRALES ESPECIFICADAS,A98,True
141,A99,"FIEBRE VIRAL HEMORRAGICA, NO ESPECIFICADA",A99,True
142,B00,INFECCIONES HERPETICAS [HERPES SIMPLE],B00,True
143,B00.0,ECZEMA HERPETICO,B00,True
144,B00.1,DERMATITIS VESICULAR HERPETICA,B00,True
145,B00.2,GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS HERPETICA,B00,True
146,B00.3,MENINGITIS HERPETICA (G02.0*),B00,True
147,B00.4,ENCEFALITIS HERPETICA (G05.1*),B00,True
148,B00.5,OCULOPATIA HERPETICA,B00,True
149,B00.7,ENFERMEDAD HERPETICA DISEMINADA,B00,True
150,B00.8,OTRAS FORMAS DE INFECCIONES HERPETICAS,B00,True
